"","School","Year","Total.Applicants","Tuition.and.Fees","Avg.Faculty.Salary","Grads","Household.Income","Top25","Top10","Pts","Playoffs","Champion","Wins","log.Total.Applicants"
"Arizona State University Campus Immersion-2015","Arizona State University Campus Immersion","2015",25380,10157,98469,67290,65640,1,0,756,0,0,10,10.1417167412684
"Arizona State University Campus Immersion-2016","Arizona State University Campus Immersion","2016",24764,10158,99711,68190,71100,0,0,0,0,0,6,10.1171462646391
"Arizona State University Campus Immersion-2017","Arizona State University Campus Immersion","2017",24127,10370,102220,66760,73060,0,0,0,0,0,5,10.0910868243254
"Arizona State University Campus Immersion-2018","Arizona State University Campus Immersion","2018",26869,10792,103233,67240,74710,0,0,0,0,0,7,10.1987284846907
"Arizona State University Campus Immersion-2019","Arizona State University Campus Immersion","2019",34188,10822,105685,66550,83540,0,0,0,0,0,7,10.4396299842859
"Arizona State University Campus Immersion-2020","Arizona State University Campus Immersion","2020",53516,11338,101317,68050,78480,0,0,12,0,0,8,10.8877359535935
"Arizona State University Campus Immersion-2021","Arizona State University Campus Immersion","2021",61603,11338,105075,69230,79310,0,0,0,0,0,2,11.0284658496344
"Arizona State University Campus Immersion-2022","Arizona State University Campus Immersion","2022",68789,11348,107320,70780,76370,0,0,0,0,0,8,11.1387991274177
"Arkansas State University-2015","Arkansas State University","2015",5346,7720,62280,30610,53770,0,0,0,0,0,7,8.58410389669886
"Arkansas State University-2016","Arkansas State University","2016",5655,8050,62971,30960,57170,0,0,0,0,0,9,8.64029538855022
"Arkansas State University-2017","Arkansas State University","2017",5683,8200,63867,30970,60880,0,0,0,0,0,8,8.64523454129712
"Arkansas State University-2018","Arkansas State University","2018",5253,8478,62244,31010,59720,0,0,0,0,0,7,8.56655462095396
"Arkansas State University-2019","Arkansas State University","2019",4689,8607,65152,30990,64470,0,0,0,0,0,8,8.45297461908959
"Arkansas State University-2020","Arkansas State University","2020",5836,8900,65355,30510,59400,0,0,0,0,0,8,8.67180090964268
