SCHOOL,Team,State
The University of Alabama,Alabama,Alabama
Clemson University,Clemson,South Carolina
Ohio State University-Main Campus,Ohio State,Ohio
University of Georgia,Georgia,Georgia
University of Oklahoma-Norman Campus,Oklahoma,Oklahoma
"	University of Notre Dame",Notre Dame,Indiana
Boise State University,Boise State,Idaho
University of Wisconsin-Madison,Wisconsin,Wisconsin
Louisiana State University and Agricultural & Mechanical College,LSU,Louisiana
"	Oklahoma State University-Main Campus",Oklahoma State,Oklahoma
"	University of Oregon",Oregon,Oregon
University of Michigan-Ann Arbor,Michigan,Michigan
San Diego State University,San Diego State,California
University of Central Florida,UCF,Florida
"	University of Cincinnati-Main Campus",Cincinnati,Ohio
University of Iowa,Iowa,Iowa
Appalachian State University,Appalachian State,North Carolina
Pennsylvania State University-Main Campus,Penn State,Pennsylvania
Marshall University,Marshall,West Virginia
University of Utah,Utah,Utah
"	Florida State University",Florida State,Florida
University of Washington-Seattle Campus,Washington,Washington
University of Louisiana at Lafayette,Louisiana,Louisiana
University of Memphis,Memphis,Tennessee
Michigan State University,Michigan State,Michigan
"	Brigham Young University",BYU,Utah
University of Southern California,USC,California
"	University of Houston",Houston,Texas
Texas Christian University,TCU,Texas
Western Kentucky University,Western Kentucky,Kentucky
University of Toledo,Toledo,Ohio
Auburn University,Auburn,Alabama
Baylor University,Baylor,Texas
Texas A & M University-College Station,Texas A&M,Texas
University of Miami,Miami,Florida
"	Pittsburg State University",Pittsburgh,Pennsylvania
Kansas State University,Kansas State,Kansas
"	University of Minnesota-Duluth",Minnesota,Minnesota
"	University of Florida",Florida,Florida
Mississippi State University,Mississippi State,Mississippi
University of Louisville,Louisville,Kentucky
Stanford University,Stanford,California
North Carolina State University at Raleigh,NC State,North Carolina
Troy University,Troy,Alabama
Utah State University,Utah State,Utah
California State University-Fresno,Fresno State,California
University of Missouri-Columbia,Missouri,Missouri
"	University of Mississippi",Mississippi,Mississippi
Virginia Polytechnic Institute and State University,Virginia Tech,Virginia
The University of Texas at Austin,Texas,Texas
Northern Illinois University,Northern Illinois,Illinois
Ohio University-Main Campus,Ohio,Ohio
"	The University of Tennessee-Knoxville",Tennessee,Tennessee
University of North Carolina at Chapel Hill,North Carolina,North Carolina
Western Michigan University,Western Michigan,Michigan
Washington State University,Washington State,Washington
Louisiana Tech University,Louisiana Tech,Louisiana
West Virginia University,West Virginia,West Virginia
Arizona State University Campus Immersion,Arizona State,Arizona
University of Kentucky,Kentucky,Kentucky
"	Middle Tennessee State University",Middle Tennessee State,Tennessee
University of California-Los Angeles,UCLA,California
Duke University,Duke,North Carolina
University of South Carolina-Columbia,South Carolina,South Carolina
Arkansas State University,Arkansas State,Arkansas
The University of Texas at San Antonio,UTSA,Texas
"	Wake Forest University",Wake Forest,North Carolina
University at Buffalo,Buffalo,New York
"	Northwestern University",Northwestern,Illinois
Boston College,Boston College,Massachusetts
Central Michigan University,Central Michigan,Michigan
Georgia Southern University,Georgia Southern,Georgia
Temple University,Temple,Pennsylvania
"	Texas Tech University",Texas Tech,Texas
"	University of Nevada-Reno",Nevada,Nevada
University of North Texas,North Texas,Texas
University of Alabama at Birmingham,UAB,Alabama
Southern Methodist University,SMU,Texas
"	University of Wyoming",Wyoming,Wyoming
Florida Atlantic University,FAU,Florida
Georgia Institute of Technology-Main Campus,Georgia Tech,Georgia
Tulane University of Louisiana,Tulane,Louisiana
University of Nebraska-Lincoln,Nebraska,Nebraska
East Carolina University,East Carolina,North Carolina
Iowa State University,Iowa State,Iowa
University of Southern Mississippi,Southern Miss,Mississippi
Colorado State University-Fort Collins,Colorado State,Colorado
University of Maryland-College Park,Maryland,Maryland
University of Arkansas,Arkansas,Arkansas
"	Indiana University-Bloomington",Indiana,Indiana
Ball State University,Ball State,Indiana
University of South Alabama,South Alabama,Alabama
Syracuse University,Syracuse,New York
University of Virginia-Main Campus,Virginia,Virginia
University of South Florida,South Florida,Florida
Bowling Green State University-Main Campus,Bowling Green,Ohio
University of Hawaii at Manoa,Hawaii,Hawaii
"	University of Arizona",Arizona,Arizona
University of California-Berkeley,California,California
University of Tulsa,Tulsa,Oklahoma
"	Eastern Michigan University",Eastern Michigan,Michigan
"	San Jose State University",San Jose State,California
Purdue University-Main Campus,Purdue,Indiana
University of Illinois Urbana-Champaign,Illinois,Illinois
Miami University-Oxford,Miami (Oh),Ohio
Oregon State University,Oregon State,Oregon
"	University of Colorado Boulder",Colorado,Colorado
Coastal Carolina University,Coastal Carolina,South Carolina
Vanderbilt University,Vanderbilt,Tennessee
Rice University,Rice,Tennessee
"	Florida International University",FIU,Florida
Liberty University,Liberty,Virginia
Old Dominion University,Old Dominion,Virginia
"	Rutgers University-New Brunswick",Rutgers,New Jersey
University of Akron Main Campus,Akron,Ohio
"	University of Louisiana at Monroe",Louisiana-Monroe,Louisiana
"	Kent State University at Kent",Kent State,Ohio
University of New Mexico-Main Campus,New Mexico,New Mexico
University of Nevada-Las Vegas,UNLV,Nevada
"	Texas State University",Texas State,Texas
The University of Texas at El Paso,UTEP,Texas
New Mexico State University-Main Campus,New Mexico State,New Mexico
University of Connecticut,Connecticut,Connecticut
University of Kansas,Kansas,Kansas
University of Massachusetts-Amherst,UMass,Massachusetts
