RANK,TEAM,2014,2015,2016,2017,2018,2019,2020,2021,2022
1,The University of Alabama,yes,yes,yes,yes,yes,no,yes,yes,no
2,Clemson University,no,yes,yes,yes,yes,yes,yes,no,no
3,Ohio State University-Main Campus,yes,no,yes,no,no,yes,yes,no,yes
1,University of Georgia,no,no,no,yes,no,no,no,yes,yes
1,University of Oklahoma-Norman Campus,no,yes,no,yes,yes,yes,no,no,no
1,"	University of Notre Dame",no,no,no,no,yes,no,yes,no,no
1,Boise State University,no,no,no,no,no,no,no,no,no
1,University of Wisconsin-Madison,no,no,no,no,no,no,no,no,no
1,Louisiana State University and Agricultural & Mechanical College,no,no,no,no,no,yes,no,no,no
1,"	Oklahoma State University-Main Campus",no,no,no,no,no,no,no,no,no
1,"	University of Oregon",yes,no,no,no,no,no,no,no,no
1,University of Michigan-Ann Arbor,no,no,no,no,no,no,no,yes,yes
1,San Diego State University,no,no,no,no,no,no,no,no,no
1,University of Central Florida,no,no,no,no,no,no,no,no,no
1,"	University of Cincinnati-Main Campus",no,no,no,no,no,no,no,yes,no
1,University of Iowa,no,no,no,no,no,no,no,no,no
1,Appalachian State,no,no,no,no,no,no,no,no,no
1,Pennsylvania State University-Main Campus,no,no,no,no,no,no,no,no,no
1,Marshall University,no,no,no,no,no,no,no,no,no
1,University of Utah,no,no,no,no,no,no,no,no,no
1,"	Florida State University",yes,no,no,no,no,no,no,no,no
1,University of Washington-Seattle Campus,no,no,yes,no,no,no,no,no,no
1,University of Louisiana at Lafayette,no,no,no,no,no,no,no,no,no
1,University of Memphis,no,no,no,no,no,no,no,no,no
1,Michigan State University,no,yes,no,no,no,no,no,no,no
1,"	Brigham Young University",no,no,no,no,no,no,no,no,no
1,University of Southern California,no,no,no,no,no,no,no,no,no
1,"	University of Houston",no,no,no,no,no,no,no,no,no
1,Texas Christian University,no,no,no,no,no,no,no,no,yes
1,Western Kentucky University,no,no,no,no,no,no,no,no,no
1,University of Toledo,no,no,no,no,no,no,no,no,no
1,"	Auburn University",no,no,no,no,no,no,no,no,no
1,Baylor University,no,no,no,no,no,no,no,no,no
1,Texas A & M University-College Station,no,no,no,no,no,no,no,no,no
1,University of Miami,no,no,no,no,no,no,no,no,no
1,"	Pittsburg State University",no,no,no,no,no,no,no,no,no
1,Kansas State University,no,no,no,no,no,no,no,no,no
1,"	University of Minnesota-Duluth",no,no,no,no,no,no,no,no,no
1,"	University of Florida",no,no,no,no,no,no,no,no,no
1,Mississippi State University,no,no,no,no,no,no,no,no,no
1,"	United States Air Force Academy",no,no,no,no,no,no,no,no,no
1,University of Louisville,no,no,no,no,no,no,no,no,no
1,Stanford University,no,no,no,no,no,no,no,no,no
1,North Carolina State University at Raleigh,no,no,no,no,no,no,no,no,no
1,Troy University,no,no,no,no,no,no,no,no,no
1,Utah State University,no,no,no,no,no,no,no,no,no
1,California State University-Fresno,no,no,no,no,no,no,no,no,no
1,University of Missouri-Columbia,no,no,no,no,no,no,no,no,no
1,"	University of Mississippi",no,no,no,no,no,no,no,no,no
1,Virginia Polytechnic Institute and State University,no,no,no,no,no,no,no,no,no
1,United States Naval Academy,no,no,no,no,no,no,no,no,no
1,The University of Texas at Austin,no,no,no,no,no,no,no,no,no
1,Northern Illinois University,no,no,no,no,no,no,no,no,no
1,Ohio University-Main Campus,no,no,no,no,no,no,no,no,no
1,"	The University of Tennessee-Knoxville",no,no,no,no,no,no,no,no,no
1,University of North Carolina at Chapel Hill,no,no,no,no,no,no,no,no,no
1,United States Military Academy,no,no,no,no,no,no,no,no,no
1,Western Michigan University,no,no,no,no,no,no,no,no,no
1,Washington State University,no,no,no,no,no,no,no,no,no
1,Louisiana Tech University,no,no,no,no,no,no,no,no,no
1,West Virginia University,no,no,no,no,no,no,no,no,no
1,Arizona State University Campus Immersion,no,no,no,no,no,no,no,no,no
1,University of Kentucky,no,no,no,no,no,no,no,no,no
1,"	Middle Tennessee State University",no,no,no,no,no,no,no,no,no
1,University of California-Los Angeles,no,no,no,no,no,no,no,no,no
1,Duke University,no,no,no,no,no,no,no,no,no
1,University of South Carolina-Columbia,no,no,no,no,no,no,no,no,no
1,Arkansas State University,no,no,no,no,no,no,no,no,no
1,The University of Texas at San Antonio,no,no,no,no,no,no,no,no,no
1,"	Wake Forest University",no,no,no,no,no,no,no,no,no
1,University at Buffalo,no,no,no,no,no,no,no,no,no
1,"	Northwestern University",no,no,no,no,no,no,no,no,no
1,Boston College,no,no,no,no,no,no,no,no,no
1,Central Michigan University,no,no,no,no,no,no,no,no,no
1,Georgia Southern University,no,no,no,no,no,no,no,no,no
1,Temple University,no,no,no,no,no,no,no,no,no
1,"	Texas Tech University",no,no,no,no,no,no,no,no,no
1,"	University of Nevada-Reno",no,no,no,no,no,no,no,no,no
1,University of North Texas,no,no,no,no,no,no,no,no,no
1,University of Alabama at Birmingham,no,no,no,no,no,no,no,no,no
1,Southern Methodist University,no,no,no,no,no,no,no,no,no
1,"	University of Wyoming",no,no,no,no,no,no,no,no,no
1,Florida Atlantic University,no,no,no,no,no,no,no,no,no
1,Georgia Institute of Technology-Main Campus,no,no,no,no,no,no,no,no,no
1,Tulane University of Louisiana,no,no,no,no,no,no,no,no,no
1,University of Nebraska-Lincoln,no,no,no,no,no,no,no,no,no
1,East Carolina University,no,no,no,no,no,no,no,no,no
1,Iowa State University,no,no,no,no,no,no,no,no,no
1,University of Southern Mississippi,no,no,no,no,no,no,no,no,no
1,Colorado State University-Fort Collins,no,no,no,no,no,no,no,no,no
1,University of Maryland-College Park,no,no,no,no,no,no,no,no,no
1,University of Arkansas,no,no,no,no,no,no,no,no,no
1,"	Indiana University-Bloomington",no,no,no,no,no,no,no,no,no
1,Ball State University,no,no,no,no,no,no,no,no,no
1,University of South Alabama,no,no,no,no,no,no,no,no,no
1,Syracuse University,no,no,no,no,no,no,no,no,no
1,University of Virginia-Main Campus,no,no,no,no,no,no,no,no,no
1,University of South Florida,no,no,no,no,no,no,no,no,no
1,Bowling Green State University-Main Campus,no,no,no,no,no,no,no,no,no
