"","School","Year","Total Applicants","Tuition and Fees","Avg Faculty Salary"
"1","University of Alabama at Birmingham",2014,5710,7205,89613
"2","The University of Alabama",2014,33736,9450,87003
"3","Auburn University",2014,16958,9852,85383
"4","University of South Alabama",2014,5614,6948,64755
"5","Troy University",2014,6336,7276,56214
"6","Arizona State University Campus Immersion",2014,22581,10002,95823
"7","University of Arizona",2014,32723,10391,92727
"8","University of Arkansas",2014,18984,7818,81765
"9","Arkansas State University",2014,5086,7510,62343
"10","California State University-Fresno",2014,18964,6287,72999
"11","University of California-Berkeley",2014,73782,12864,136746
"12","University of California-Los Angeles",2014,86537,12697,142569
"13","San Diego State University",2014,56921,6766,83493
"14","San Jose State University",2014,29738,7343,82539
"15","University of Southern California",2014,51920,46298,120195
"16","University of Colorado Boulder",2014,28852,10347,94068
"17","Colorado State University-Fort Collins",2014,16655,9313,82845
"18","United States Air Force Academy",2014,9050,NA,76527
"19","University of Connecticut",2014,31280,12022,107163
"20","University of Central Florida",2014,33226,6317,82899
"21","Florida Atlantic University",2014,14944,4790,76005
"22","Florida International University",2014,20175,6496,87003
"23","Florida State University",2014,30266,6507,89019
"24","University of Florida",2014,28662,6263,97650
"25","University of Miami",2014,31613,42852,102366
"26","University of South Florida",2014,24988,6410,81207
"27","Georgia Institute of Technology-Main Campus",2014,25884,10650,104544
"28","Georgia Southern University",2014,9679,6071,57618
"29","University of Georgia",2014,20918,10262,91521
"30","University of Hawaii at Manoa",2014,7532,9904,96597
"31","Boise State University",2014,8153,6292,63531
"32","University of Illinois Urbana-Champaign",2014,35822,14750,106470
"33","Northern Illinois University",2014,19814,12976,70452
"34","Northwestern University",2014,33674,45527,135396
"35","Ball State University",2014,18107,9160,67086
"36","Indiana University-Bloomington",2014,36362,10209,88047
"37","University of Notre Dame",2014,17901,44605,117918
"38","Iowa State University",2014,18399,7726,94212
"39","University of Iowa",2014,24097,8061,97596
"40","University of Kansas",2014,15767,10107,88605
"41","Kansas State University",2014,9614,8192,74259
"42","Pittsburg State University",2014,2758,5906,63846
"43","University of Kentucky",2014,20677,10110,87894
"44","University of Louisville",2014,10604,9946,85050
"45","Western Kentucky University",2014,8462,8722,63738
"46","Louisiana State University and Agricultural & Mechanical College",2014,16580,7873,85149
"47","Louisiana Tech University",2014,5863,7302,66096
"48","University of Louisiana at Monroe",2014,3863,6318,62784
"49","University of Louisiana at Lafayette",2014,9386,6192,68868
"50","Tulane University of Louisiana",2014,28901,46930,98073
"51","University of Maryland-College Park",2014,26340,9162,112131
"52","United States Naval Academy",2014,17618,NA,97587
"53","Boston College",2014,23223,45622,124425
"54","University of Massachusetts-Amherst",2014,37296,13443,103104
"55","Central Michigan University",2014,18320,11220,75951
"56","Eastern Michigan University",2014,12360,9364,80640
"57","University of Michigan-Ann Arbor",2014,49776,13142,96093
"58","Michigan State University",2014,33211,12862,97218
"59","Western Michigan University",2014,14008,10355,82575
"60","University of Minnesota-Duluth",2014,7740,12815,69102
"61","University of Mississippi",2014,16101,6760,79353
"62","Mississippi State University",2014,10766,6772,72423
"63","University of Southern Mississippi",2014,5850,6744,65259
"64","University of Missouri-Columbia",2014,21163,9415,82305
"65","University of Nebraska-Lincoln",2014,11865,8060,91746
"66","University of Nevada-Las Vegas",2014,7408,6690,91251
"67","University of Nevada-Reno",2014,8832,6610,88920
"68","Rutgers University-New Brunswick",2014,31941,13499,98811
"69","University of New Mexico-Main Campus",2014,12574,6846,80181
"70","New Mexico State University-Main Campus",2014,7101,6220,73665
"71","University at Buffalo",2014,24423,8211,91215
"72","Syracuse University",2014,26790,40458,100323
"73","United States Military Academy",2014,14977,NA,83349
"74","Appalachian State University",2014,13506,6462,69030
"75","Duke University",2014,31523,45376,134136
"76","East Carolina University",2014,14223,6143,71685
"77","University of North Carolina at Chapel Hill",2014,31332,8340,98082
"78","North Carolina State University at Raleigh",2014,20443,8206,89955
"79","Wake Forest University",2014,11119,44742,100233
"80","University of Akron Main Campus",2014,13109,10054,82188
"81","Bowling Green State University-Main Campus",2014,14509,10726,73989
"82","University of Cincinnati-Main Campus",2014,16689,10784,84411
"83","Kent State University at Kent",2014,16125,9816,76338
"84","Miami University-Oxford",2014,25301,13800,78093
"85","Ohio State University-Main Campus",2014,36788,10037,103149
"86","Ohio University-Main Campus",2014,20934,10446,77121
"87","University of Toledo",2014,10394,9275,72864
"88","Oklahoma State University-Main Campus",2014,12259,7442,76392
"89","University of Oklahoma-Norman Campus",2014,11331,8916,85815
"90","University of Tulsa",2014,7636,34835,89145
"91","Oregon State University",2014,14116,8322,81558
"92","University of Oregon",2014,21359,9703,84510
"93","Pennsylvania State University-Main Campus",2014,50299,16992,91575
"94","Temple University",2014,26496,14096,88515
"95","Clemson University",2014,20756,13382,91431
"96","University of South Carolina-Columbia",2014,23342,10816,87534
"97","Coastal Carolina University",2014,14799,9760,66951
"98","University of Memphis",2014,11311,8312,75366
"99","Middle Tennessee State University",2014,9353,7546,63846
"100","The University of Tennessee-Knoxville",2014,15442,11194,90414
"101","Vanderbilt University",2014,29518,42978,118359
"102","Baylor University",2014,33898,35972,80865
"103","University of Houston",2014,17328,8401,94878
"104","University of North Texas",2014,16842,8745,90090
"105","Rice University",2014,17728,38941,132318
"106","Southern Methodist University",2014,11817,43800,104616
"107","Texas State University",2014,18413,8060,68535
"108","Texas A & M University-College Station",2014,32190,8506,89649
"109","The University of Texas at Austin",2014,38785,9798,100548
"110","The University of Texas at El Paso",2014,7157,7255,75762
"111","Texas Christian University",2014,17029,36590,92385
"112","The University of Texas at San Antonio",2014,14933,7457,68103
"113","Texas Tech University",2014,21873,7517,80010
"114","Brigham Young University",2014,11078,4850,89199
"115","Utah State University",2014,12835,6030,76158
"116","University of Utah",2014,10991,7457,90324
"117","Liberty University",2014,45121,18274,36459
"118","Old Dominion University",2014,9161,8550,77004
"119","Virginia Polytechnic Institute and State University",2014,20744,11455,91701
"120","University of Virginia-Main Campus",2014,31021,12668,115803
"121","Washington State University",2014,14887,12327,82071
"122","University of Washington-Seattle Campus",2014,31611,12397,101016
"123","Marshall University",2014,2863,6216,64053
"124","West Virginia University",2014,15604,6456,85131
"125","University of Wisconsin-Madison",2014,25438,10403,100287
"126","University of Wyoming",2014,4187,4404,82116
"127","Stanford University",2014,42167,43245,185850
"128","Purdue University-Main Campus",2014,39896,9992,100269
"129","University of Alabama at Birmingham",2015,7672,7510,91989
"130","The University of Alabama",2015,36203,9826,87390
"131","Auburn University",2015,19414,10200,87642
"132","University of South Alabama",2015,6625,7188,64611
"133","Troy University",2015,5569,7564,57024
"134","Arizona State University Campus Immersion",2015,25380,10157,98469
"135","University of Arizona",2015,35408,10957,94491
"136","University of Arkansas",2015,20542,8210,82521
"137","Arkansas State University",2015,5346,7720,62280
"138","California State University-Fresno",2015,19938,6299,75348
"139","University of California-Berkeley",2015,78893,12972,141399
"140","University of California-Los Angeles",2015,92690,12705,148239
"141","San Diego State University",2015,59051,6866,85788
"142","San Jose State University",2015,30584,7323,85401
"143","University of Southern California",2015,51924,48280,121149
"144","University of Colorado Boulder",2015,31325,10789,96183
"145","Colorado State University-Fort Collins",2015,18556,9897,84798
"146","United States Air Force Academy",2015,9122,NA,77751
"147","University of Connecticut",2015,34978,12700,111159
"148","University of Central Florida",2015,35572,6368,83313
"149","Florida Atlantic University",2015,15847,4831,76014
"150","Florida International University",2015,21442,6497,89307
"151","Florida State University",2015,29828,6507,91836
"152","University of Florida",2015,29220,6313,98595
"153","University of Miami",2015,33420,44350,103761
"154","University of South Florida",2015,30393,6410,84438
"155","Georgia Institute of Technology-Main Campus",2015,27277,11394,109341
"156","Georgia Southern University",2015,10098,6170,58941
"157","University of Georgia",2015,21945,10836,96084
"158","University of Hawaii at Manoa",2015,7690,10620,100701
"159","Boise State University",2015,8156,6641,65448
"160","University of Illinois Urbana-Champaign",2015,34277,15020,106506
"161","Northern Illinois University",2015,17099,13505,71604
"162","Northwestern University",2015,32122,47251,139392
"163","Ball State University",2015,22147,9344,67770
"164","Indiana University-Bloomington",2015,34483,10388,89991
"165","University of Notre Dame",2015,18157,46237,122247
"166","Iowa State University",2015,19164,7731,94617
"167","University of Iowa",2015,26222,8079,96408
"168","University of Kansas",2015,15155,10448,88371
"169","Kansas State University",2015,9178,8918,77706
"170","Pittsburg State University",2015,2697,6230,64683
"171","University of Kentucky",2015,18725,10616,90891
"172","University of Louisville",2015,9685,10432,84249
"173","Western Kentucky University",2015,8957,9140,64161
"174","Louisiana State University and Agricultural & Mechanical College",2015,17429,8750,85023
"175","Louisiana Tech University",2015,6378,8052,66780
"176","University of Louisiana at Monroe",2015,3417,6963,64080
"177","University of Louisiana at Lafayette",2015,10897,6872,72945
"178","Tulane University of Louisiana",2015,26257,48305,98937
"179","University of Maryland-College Park",2015,28434,9427,111375
"180","United States Naval Academy",2015,16101,NA,95301
"181","Boston College",2015,29486,47436,127899
"182","University of Massachusetts-Amherst",2015,40130,13443,107289
